"","report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
"1","6/29/16","Wisconsin","state","zika_reported_local","US0002",NA,NA,0,"cases"
"2","6/29/16","Wisconsin","state","zika_reported_travel","US0001",NA,NA,2,"cases"
"3","6/22/16","Wisconsin","state","zika_reported_local","US0002",NA,NA,0,"cases"
"4","6/22/16","Wisconsin","state","zika_reported_travel","US0001",NA,NA,2,"cases"
"5","6/15/16","Wisconsin","state","zika_reported_local","US0002",NA,NA,0,"cases"
"6","6/15/16","Wisconsin","state","zika_reported_travel","US0001",NA,NA,2,"cases"
"7","6/29/16","West_Virginia","state","zika_reported_travel","US0001",NA,NA,6,"cases"
"8","6/29/16","West_Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"9","6/22/16","West_Virginia","state","zika_reported_travel","US0001",NA,NA,6,"cases"
"10","6/22/16","West_Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"11","6/15/16","West_Virginia","state","zika_reported_travel","US0001",NA,NA,6,"cases"
"12","6/15/16","West_Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"13","6/8/16","West_Virginia","state","zika_reported_travel","US0001",NA,NA,6,"cases"
"14","6/8/16","West_Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"15","6/1/16","West_Virginia","state","zika_reported_travel","US0001",NA,NA,6,"cases"
"16","6/1/16","West_Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"17","5/25/16","West_Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"18","5/25/16","West_Virginia","state","zika_reported_travel","US0001",NA,NA,6,"cases"
"19","5/11/16","West_Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"20","5/11/16","West_Virginia","state","zika_reported_travel","US0001",NA,NA,6,"cases"
"21","5/4/16","West_Virginia","state","zika_reported_travel","US0001",NA,NA,6,"cases"
"22","5/4/16","West_Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"23","4/27/16","West_Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"24","4/27/16","West_Virginia","state","zika_reported_travel","US0001",NA,NA,6,"cases"
"25","4/20/16","West_Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"26","4/20/16","West_Virginia","state","zika_reported_travel","US0001",NA,NA,5,"cases"
"27","4/13/16","West_Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"28","4/13/16","West_Virginia","state","zika_reported_travel","US0001",NA,NA,5,"cases"
"29","4/6/16","West_Virginia","state","zika_reported_travel","US0001",NA,NA,5,"cases"
"30","4/6/16","West_Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"31","3/30/16","West_Virginia","state","zika_reported_travel","US0001",NA,NA,5,"cases"
"32","3/30/16","West_Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"33","3/23/16","West_Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"34","3/23/16","West_Virginia","state","zika_reported_travel","US0001",NA,NA,5,"cases"
"35","3/16/16","West_Virginia","state","zika_reported_travel","US0001",NA,NA,5,"cases"
"36","3/16/16","West_Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"37","6/29/16","Washington","state","zika_reported_travel","US0001",NA,NA,6,"cases"
"38","6/29/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"39","6/22/16","Washington","state","zika_reported_travel","US0001",NA,NA,5,"cases"
"40","6/22/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"41","6/15/16","Washington","state","zika_reported_travel","US0001",NA,NA,5,"cases"
"42","6/15/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"43","6/8/16","Washington","state","zika_reported_travel","US0001",NA,NA,4,"cases"
"44","6/8/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"45","6/1/16","Washington","state","zika_reported_travel","US0001",NA,NA,4,"cases"
"46","6/1/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"47","5/25/16","Washington","state","zika_reported_travel","US0001",NA,NA,3,"cases"
"48","5/25/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"49","5/11/16","Washington","state","zika_reported_travel","US0001",NA,NA,2,"cases"
"50","5/11/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"51","5/4/16","Washington","state","zika_reported_travel","US0001",NA,NA,2,"cases"
"52","5/4/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"53","4/27/16","Washington","state","zika_reported_travel","US0001",NA,NA,2,"cases"
"54","4/27/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"55","4/20/16","Washington","state","zika_reported_travel","US0001",NA,NA,2,"cases"
"56","4/20/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"57","4/13/16","Washington","state","zika_reported_travel","US0001",NA,NA,2,"cases"
"58","4/13/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"59","4/6/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"60","4/6/16","Washington","state","zika_reported_travel","US0001",NA,NA,2,"cases"
"61","3/30/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"62","3/30/16","Washington","state","zika_reported_travel","US0001",NA,NA,2,"cases"
"63","3/23/16","Washington","state","zika_reported_travel","US0001",NA,NA,2,"cases"
"64","3/23/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"65","3/16/16","Washington","state","zika_reported_travel","US0001",NA,NA,2,"cases"
"66","3/16/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"67","3/9/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"68","3/9/16","Washington","state","zika_reported_travel","US0001",NA,NA,1,"cases"
"69","2/24/16","Washington","state","zika_reported_local","US0002",NA,NA,0,"cases"
"70","2/24/16","Washington","state","zika_reported_travel","US0001",NA,NA,1,"cases"
"71","6/29/16","Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"72","6/29/16","Virginia","state","zika_reported_travel","US0001",NA,NA,27,"cases"
"73","6/22/16","Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
"74","6/22/16","Virginia","state","zika_reported_travel","US0001",NA,NA,27,"cases"
"75","6/15/16","Virginia","state","zika_reported_local","US0002",NA,NA,0,"cases"
