location,6,5,4,3,2
alabama,2,2,2,2,1
alaska,0,0,0,0,0
arizona,6,3,1,1,0
arkansas,5,3,2,1,1
california,55,44,29,17,6
colorado,8,2,2,2,0
connecticut,1,1,1,1,0
delaware,5,3,3,3,1
district of columbia,6,4,3,3,3
florida,182,121,84,74,28
georgia,26,15,13,9,1
hawaii,10,9,7,5,4
idaho,0,0,0,0,0
illinois,19,16,12,9,4
indiana,10,6,6,5,1
iowa,7,6,4,4,1
kansas,5,2,1,1,0
kentucky,6,5,5,3,0
louisiana,7,4,4,2,1
maine,6,5,2,1,0
maryland,31,17,11,6,3
massachusetts,32,16,7,7,2
michigan,10,4,3,2,0
minnesota,19,17,14,12,3
mississippi,3,3,3,2,0
missouri,5,3,3,1,0
montana,1,1,1,1,0
nebraska,2,2,2,2,2
nevada,7,6,2,2,0
new hampshire,4,3,3,2,0
new jersey,21,14,9,5,1
new mexico,3,1,1,0,0
new york,236,127,77,46,17
north carolina,16,12,10,7,0
north dakota,0,0,0,0,0
ohio,16,12,12,9,4
oklahoma,6,4,4,3,0
oregon,7,6,6,6,1
pennsylvania,31,19,16,11,4
rhode island,15,0,0,0,0
south carolina,6,0,0,0,0
south dakota,0,0,0,0,0
tennessee,8,3,2,1,1
texas,49,36,30,34,13
utah,2,2,2,2,0
vermont,2,0,0,0,0
virginia,27,15,12,8,3
washington,6,3,2,2,1
west virginia,6,6,6,5,0
wisconsin,2,0,0,0,0
wyoming,0,0,0,0,0
