,report_date,location,Abrive,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
13,6/29/16,Connecticut,CT,state,zika_reported_travel,US0001,NA,NA,1,cases
14,6/29/16,Connecticut,CT,state,zika_reported_local,US0002,NA,NA,0,cases
111,6/22/16,Connecticut,CT,state,zika_reported_travel,US0001,NA,NA,1,cases
112,6/22/16,Connecticut,CT,state,zika_reported_local,US0002,NA,NA,0,cases
209,6/15/16,Connecticut,CT,state,zika_reported_travel,US0001,NA,NA,1,cases
210,6/15/16,Connecticut,CT,state,zika_reported_local,US0002,NA,NA,0,cases
307,6/8/16,Connecticut,CT,state,zika_reported_travel,US0001,NA,NA,1,cases
308,6/8/16,Connecticut,CT,state,zika_reported_local,US0002,NA,NA,0,cases
395,6/1/16,Connecticut,CT,state,zika_reported_local,US0002,NA,NA,0,cases
396,6/1/16,Connecticut,CT,state,zika_reported_travel,US0001,NA,NA,1,cases
481,5/25/16,Connecticut,CT,state,zika_reported_travel,US0001,NA,NA,1,cases
482,5/25/16,Connecticut,CT,state,zika_reported_local,US0002,NA,NA,0,cases
569,5/11/16,Connecticut,CT,state,zika_reported_travel,US0001,NA,NA,1,cases
570,5/11/16,Connecticut,CT,state,zika_reported_local,US0002,NA,NA,0,cases
645,5/4/16,Connecticut,CT,state,zika_reported_local,US0002,NA,NA,0,cases
646,5/4/16,Connecticut,CT,state,zika_reported_travel,US0001,NA,NA,1,cases
721,4/27/16,Connecticut,CT,state,zika_reported_travel,US0001,NA,NA,1,cases
722,4/27/16,Connecticut,CT,state,zika_reported_local,US0002,NA,NA,0,cases
799,4/20/16,Connecticut,CT,state,zika_reported_travel,US0001,NA,NA,1,cases
800,4/20/16,Connecticut,CT,state,zika_reported_local,US0002,NA,NA,0,cases
889,4/13/16,Connecticut,CT,state,zika_reported_local,US0002,NA,NA,0,cases
890,4/13/16,Connecticut,CT,state,zika_reported_travel,US0001,NA,NA,1,cases
977,4/6/16,Connecticut,CT,state,zika_reported_local,US0002,NA,NA,0,cases
978,4/6/16,Connecticut,CT,state,zika_reported_travel,US0001,NA,NA,1,cases
1063,3/30/16,Connecticut,CT,state,zika_reported_local,US0002,NA,NA,0,cases
1064,3/30/16,Connecticut,CT,state,zika_reported_travel,US0001,NA,NA,1,cases
1149,3/23/16,Connecticut,CT,state,zika_reported_travel,US0001,NA,NA,1,cases
1150,3/23/16,Connecticut,CT,state,zika_reported_local,US0002,NA,NA,0,cases
15,6/29/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
16,6/29/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,5,cases
113,6/22/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
114,6/22/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,5,cases
211,6/15/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
212,6/15/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,4,cases
309,6/8/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
310,6/8/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,4,cases
397,6/1/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,3,cases
398,6/1/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
483,5/25/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,3,cases
484,5/25/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
571,5/11/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
572,5/11/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,3,cases
647,5/4/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
648,5/4/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,3,cases
723,4/27/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,3,cases
724,4/27/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
801,4/20/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
802,4/20/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,3,cases
891,4/13/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
892,4/13/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,3,cases
979,4/6/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,3,cases
980,4/6/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
1065,3/30/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,3,cases
1066,3/30/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
1151,3/23/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
1152,3/23/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,3,cases
1227,3/16/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,1,cases
1228,3/16/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
1303,3/9/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,1,cases
1304,3/9/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
1371,2/24/16,Delaware,DE,state,zika_reported_local,US0002,NA,NA,0,cases
1372,2/24/16,Delaware,DE,state,zika_reported_travel,US0001,NA,NA,1,cases
17,6/29/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
18,6/29/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,6,cases
115,6/22/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
116,6/22/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,6,cases
213,6/15/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
214,6/15/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,6,cases
311,6/8/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
312,6/8/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,6,cases
399,6/1/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
400,6/1/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,6,cases
485,5/25/16,District_of_Columbia,DC,state,zika_reported_local,US0002,NA,NA,0,cases
486,5/25/16,District_of_Columbia,DC,state,zika_reported_travel,US0001,NA,NA,4,cases
